                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1109,                 2.7749,                 1.0071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00065,                0.00065,                0.00065
                      2,                 2.5269,                  3.118,                 1.1979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012515,              0.0012515,              0.0012515
                      3,                 2.4102,                 3.0147,                 1.1459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001787,               0.001787,               0.001787
                      4,                 2.4162,                  3.023,                 1.2203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001703,               0.001703,               0.001703
                      5,                 2.7705,                 3.3096,                 1.1533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                      6,                 3.3479,                 3.2888,                0.95389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001505,               0.001505,               0.001505
                      7,                 2.7568,                 3.0604,                0.82027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                      8,                 3.4518,                 3.3389,                0.96659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001307,               0.001307,               0.001307
                      9,                 2.7411,                 2.2942,                0.96844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                     10,                 2.4766,                 2.2165,                0.91793,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001109,               0.001109,               0.001109
                     11,                 2.5642,                 4.2572,                0.96438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00101,                0.00101,                0.00101
                     12,                 2.6512,                 2.5419,                 1.0151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000911,               0.000911,               0.000911
                     13,                 2.4136,                 2.0772,                0.92204,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     14,                 1.8296,                 1.8185,                0.85392,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000713,               0.000713,               0.000713
                     15,                  2.071,                 1.7782,                0.91722,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000614,               0.000614,               0.000614
                     16,                 1.7921,                 1.5368,                0.85072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000515,               0.000515,               0.000515
                     17,                 1.7376,                 1.5726,                0.85353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     18,                 1.7642,                 1.5292,                0.88252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000317,               0.000317,               0.000317
                     19,                 1.7795,                  1.639,                0.86673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000218,               0.000218,               0.000218
                     20,                 1.7786,                  1.486,                0.86333,                0.77871,                0.83333,                 0.9076,                0.53268,                 1.4125,                  1.416,                0.80238,               0.000119,               0.000119,               0.000119
